cure,dead,lat,lon
7822,270,55.751244,37.618423
930,50,55.751244,37.618423
408,32,59.93863,30.31413
208,1,61.66666,50.816666
94,2,59.93863,30.31413
85,15,45.039268,38.987221
80,13,56.483333,44.533333
57,0,53.2520900,34.37167
56,25,56.833332,60.583332
54,4,,
54,9,,
52,1,,
49,9,,
47,1,,
44,5,,
44,4,,
43,2,,
41,10,,
41,3,,
40,0,,
41,0,,
39,6,,
39,5,,
33,9,,
32,6,,
32,3[15],,
32,4,,
27,0,,
26,2,,
26,1,,
25,0,,
24,3[18],,
23,1,,
23,6,,
22,1,,
22,15,,
21,0,,
21,3,,
20,7,,
18,0,,
18,1,,
18,9,,
18,2,,
16,5,,
16,7,,
15,0,,
15,2,,
15,2,,
15,0,,
15,1,,
14,3,,
14,0,,
14,0,,
14,3,,
13,2,,
13,0,,
13,3,,
12,3,,
12,2,,
11,2[19],,
11,4,,
11,2[20],,
10,0,,
9,2,,
9,3,,
7,2,,
7,0,,
6,0,,
6,1,,
5,0,,
5,0,,
5,0,,
5,2,,
4,0,,
4,1,,
4,1,,
4,1,,
3,1,,
2,0,,
2,0,,
1,,,
